filename,auc_generated,median_cos_sim_generated,percentage_invalid_neighbors
00331463.stl,0.8711945314378766,0.9999999999999989,87.02392578125
00209856.stl,0.99981689453125,1.0,99.98779296875
00741373.stl,0.5910973914372076,0.9996891918968791,58.72802734375
00501923.stl,0.6308341865762885,0.9996891943859676,62.6708984375
00398183.stl,0.75445556640625,1.0,75.30517578125
00343787.stl,0.99981689453125,1.0,99.98779296875
00843155.stl,0.9998168945387099,0.9999999999999816,99.98779296875
00948014.stl,0.98150634765625,1.0,98.15673828125
00695644.stl,0.9032883468575259,1.0,90.27099609375
00047559.stl,0.8886101334454877,1.0,88.7451171875
00754742.stl,0.9989624027001661,0.9999999999994331,99.90234375
00017346.stl,0.9545898375662006,1.0,95.42236328125
00199219.stl,0.958740234375,1.0,95.8740234375
00812454.stl,0.9288330078125,1.0,92.76123046875
00483908.stl,0.99969482421875,1.0,99.9755859375
00907059.stl,0.9561867006346542,1.0,95.49560546875
00197220.stl,1.0,0.0,100.0
00903559.stl,0.99969482421875,1.0,99.9755859375
00455396.stl,0.944338710689222,1.0,94.39697265625
00371709.stl,0.8153076171875,1.0,81.38427734375
00533761.stl,0.7569182865432198,1.0,75.5126953125
00401658.stl,0.9681473994455412,1.0,96.81396484375
00871044.stl,0.8949420336425952,0.9999999999999999,89.46533203125
00882872.stl,0.9176025390625,1.0,91.650390625
00510999.stl,0.6146247675581572,1.0,60.99853515625
00064545.stl,0.99945068359375,1.0,99.951171875
00666109.stl,0.96142578125,1.0,96.142578125
00295262.stl,0.9727783203125,1.0,97.265625
00355052.stl,0.9792353624154284,1.0,97.91259765625
00247324.stl,0.9546554025270518,1.0,95.4345703125
00848809.stl,0.99871826171875,1.0,99.8779296875
00442761.stl,1.0,0.0,100.0
00661114.stl,0.9866333015437635,1.0,98.66943359375
00852851.stl,0.98553466796875,1.0,98.5595703125
00348003.stl,0.99920654296875,1.0,99.9267578125
00987922.stl,0.795003337716439,0.9999987375908368,79.08935546875
00388569.stl,0.708298490812441,0.9999999999999954,70.5322265625
00284421.stl,0.9570883818593912,0.999796116691599,95.361328125
00658965.stl,0.9984741213512265,0.9999999999999163,99.853515625
00471383.stl,0.6639492503969757,0.9999999999980049,65.07568359375
00336287.stl,0.8003289763710113,0.9996891820804568,79.65087890625
00436976.stl,0.90728759765625,1.0,90.71044921875
00875578.stl,0.9874877934006274,1.0,98.7548828125
00359640.stl,0.7978260456877979,1.0,79.55322265625
00314740.stl,0.9968284578961636,0.999999999999889,99.6826171875
00991826.stl,1.0,0.0,100.0
00777992.stl,0.9295954628769387,0.9996891824384848,92.8955078125
00758971.stl,0.8180001465654194,1.0,81.38427734375
00209711.stl,1.0,0.0,100.0
00254402.stl,0.8671875,1.0,86.65771484375
00936333.stl,0.807373046875,1.0,80.65185546875
00987936.stl,0.84368896484375,1.0,84.28955078125
00674243.stl,0.8367993730517561,1.0,83.33740234375
00771449.stl,0.996643066406829,1.0,99.67041015625
00217249.stl,0.6918964683982007,0.9996891835520128,68.7744140625
00779015.stl,0.9068839593964755,1.0,90.61279296875
00560503.stl,0.7695651589979478,0.9999999999999999,76.7822265625
00486092.stl,0.991027832224646,1.0,99.10888671875
00424433.stl,0.995060525836263,0.9999999999999999,99.51171875
00432537.stl,0.94769287109375,1.0,94.7509765625
00464765.stl,0.924560546875,1.0,90.380859375
00718366.stl,0.92462158203125,1.0,92.3583984375
00147439.stl,0.6875019394438902,0.9996892056440542,68.45703125
00080166.stl,1.0,0.0,100.0
00601145.stl,0.97198486328125,1.0,97.1923828125
00657465.stl,0.9026992824120527,0.999999999996698,90.12451171875
00524355.stl,1.0,0.0,100.0
00420899.stl,0.7625490879585257,0.9999999999995495,76.08642578125
00852892.stl,1.0,0.0,100.0
00083309.stl,0.9414653782068139,1.0,94.091796875
00530320.stl,0.8832910622481228,1.0,88.232421875
00003247.stl,0.80255126953125,1.0,80.18798828125
00854213.stl,0.9804755316840581,1.0,98.03466796875
00928864.stl,0.960653637831268,0.9999999999999999,96.044921875
00984230.stl,0.752430751990968,0.9996891830505121,74.98779296875
00234447.stl,0.90692138671875,1.0,90.68603515625
00654144.stl,0.8738907103436676,0.9999999999999999,87.2802734375
00579708.stl,0.92254638671875,1.0,92.22412109375
00531770.stl,0.99871826171875,1.0,99.8779296875
00026789.stl,0.9994710292831723,0.383020464331989,99.9267578125
00789325.stl,0.80889892578125,1.0,80.77392578125
00406876.stl,0.92535400390625,1.0,92.51708984375
00609531.stl,0.8641143401419942,1.0,86.3037109375
00607508.stl,0.8868166146539466,0.9999999999999999,88.53759765625
00287841.stl,0.6778196845516293,0.999994205603826,67.22412109375
00005144.stl,0.99908447265625,1.0,99.91455078125
00790660.stl,0.7670494779955367,1.0,76.52587890625
00946617.stl,0.873227764415319,1.0,87.24365234375
00520669.stl,0.9604036897430831,0.9999999999999853,96.044921875
00794360.stl,1.0,0.0,100.0
00313946.stl,0.5734931788739639,0.9999999999999244,56.94580078125
00147363.stl,0.9656982421875,1.0,96.533203125
00890523.stl,0.813720703125,1.0,81.2255859375
00631253.stl,1.0,0.0,100.0
00459157.stl,0.9285181839860113,1.0,92.81005859375
00076343.stl,1.0,0.0,100.0
00207270.stl,0.9976700730342163,0.998972970236618,99.76806640625
00272837.stl,0.611929081644412,1.0,60.7666015625
00119948.stl,0.9451323188281686,1.0,94.27490234375
00440360.stl,1.0,0.0,100.0
00119784.stl,0.9614622787974869,1.0,96.142578125
00218344.stl,0.65325927734375,1.0,65.0634765625
00569094.stl,0.5858145174055337,0.9999999999999359,58.349609375
00229199.stl,0.999755859375,0.5,99.9755859375
00294418.stl,0.918386037075126,1.0,91.6748046875
00592226.stl,0.8476000667085921,0.99999999999361,84.43603515625
00229827.stl,0.9537556970002916,0.999689203779851,95.3369140625
00825165.stl,0.9979961004757815,0.999978917852746,99.8046875
00486509.stl,1.0,0.0,100.0
00829777.stl,1.0,0.0,100.0
00382246.stl,0.962205678668843,0.9996891755897729,96.17919921875
00815930.stl,0.8735785152640265,1.0,86.1572265625
00724110.stl,0.8322990945386977,1.0,82.97119140625
00826322.stl,1.0,0.0,100.0
00577296.stl,0.6570328647886956,0.9999999999997216,65.44189453125
00375802.stl,0.8856542668403462,1.0,88.46435546875
00359456.stl,1.0,0.0,100.0
00297893.stl,0.8847165904040785,1.0,88.2568359375
00099812.stl,0.8838353775491412,1.0,88.28125
00029684.stl,0.99700927734375,1.0,99.70703125
00793143.stl,1.0,0.0,100.0
00273254.stl,0.9794926671812421,1.0,97.94921875
00370991.stl,0.8613432151176632,1.0,86.04736328125
00480839.stl,0.8373636453546721,0.9999999999994611,83.6669921875
00861082.stl,0.90484619140625,1.0,90.44189453125
00154647.stl,0.9995117187522167,0.9999999999999998,99.951171875
00985462.stl,0.986267090523832,1.0,98.62060546875
00131975.stl,0.99945068359375,1.0,99.951171875
00493689.stl,1.0,0.0,100.0
00827969.stl,0.9425048828125,1.0,94.23828125
00769945.stl,0.7487314412526392,1.0,74.69482421875
00886631.stl,0.981027982918961,1.0,98.10791015625
00552957.stl,0.9989624024532349,0.9999999999999651,99.90234375
00562894.stl,0.9304761129547797,0.999689182622935,92.98095703125
00827941.stl,0.9727007862311009,0.9998729268269115,97.20458984375
00771844.stl,0.9492295599584556,1.0,94.7021484375
00621901.stl,0.9055660258699064,1.0,90.52734375
00178391.stl,0.9524642694833696,0.9996891926337584,95.20263671875
00712475.stl,1.0,0.0,100.0
00533417.stl,0.7298290382724166,1.0,72.607421875
00226255.stl,0.7279755272869077,1.0,72.54638671875
00388964.stl,0.7908200020500867,0.9999999999990463,79.00390625
00980526.stl,0.9021588963133446,1.0,90.13671875
00981638.stl,1.0,0.0,100.0
00883985.stl,0.98919677734375,1.0,98.92578125
00007551.stl,0.8192855150544668,1.0,81.72607421875
00551292.stl,0.972614399587583,0.9997287063848538,97.16796875
00739873.stl,0.8201501055928296,1.0,81.84814453125
00102466.stl,0.9879150390625,1.0,98.779296875
00527439.stl,0.5543212890625,1.0,55.06591796875
00010710.stl,0.9678422306759797,0.9999999999997594,96.76513671875
00649358.stl,0.9707360698157887,0.9999999999997764,96.86279296875
00762877.stl,0.7416236890287142,0.9999565807550184,73.779296875
00557860.stl,0.8602294921875,1.0,85.9130859375
00861783.stl,0.7236992044824624,0.999855614344554,72.13134765625
00050446.stl,0.8548501299077232,1.0,85.2783203125
00219954.stl,0.79229736328125,1.0,79.13818359375
00144341.stl,0.6176370339063774,1.0,61.29150390625
00176495.stl,1.0,0.0,100.0
00156745.stl,0.9791374666098793,1.0,97.88818359375
00192061.stl,0.8791339208330468,1.0,87.80517578125
00797424.stl,0.99871826171875,1.0,99.8779296875
00392973.stl,0.99981689453125,1.0,99.98779296875
00479545.stl,0.87664794921875,1.0,87.646484375
00138922.stl,0.9930487533470033,1.0,99.27978515625
00066692.stl,0.7632950048636962,0.9996891900977823,76.0009765625
00645238.stl,0.953730507513214,0.9999999999999999,95.3369140625
00780616.stl,1.0,0.0,100.0
00628956.stl,1.0,0.0,100.0
00742557.stl,0.99053955078125,1.0,99.06005859375
00812745.stl,0.95001220703125,1.0,95.00732421875
00896445.stl,0.8548886800060664,0.9996892356339688,84.1552734375
00124489.stl,0.7391163658441562,0.9996891983453113,73.69384765625
00271418.stl,0.9714396360546523,1.0,97.1435546875
00187336.stl,1.0,0.0,100.0
00616112.stl,0.7077685160240802,1.0,70.556640625
00107536.stl,0.9479980467092409,1.0,94.775390625
00224431.stl,0.89892578125,1.0,89.78271484375
00921370.stl,0.9697704322601399,0.9999999999999999,96.88720703125
00494624.stl,0.859519375536152,0.9999999999981194,79.91943359375
00349178.stl,0.97607421875,1.0,97.607421875
00293310.stl,0.9998599141091735,0.4472135954999579,99.98779296875
00827073.stl,0.89678955078125,1.0,89.5751953125
00142081.stl,0.9995738668922096,0.9999999999999999,99.96337890625
00777261.stl,0.7196084652933816,1.0,71.6064453125
00673775.stl,0.8268221305578768,1.0,82.5439453125
00030403.stl,0.9774169921875,1.0,97.74169921875
00537831.stl,0.7851140915112658,1.0,78.3203125
00868764.stl,0.5740569544811727,0.9996892013568976,56.73828125
00145936.stl,0.8247984794680607,1.0,82.373046875
00387371.stl,0.9957419425795645,1.0,99.57275390625
00353646.stl,0.752233297714381,1.0,75.048828125
00923201.stl,0.9527587890625,1.0,95.27587890625
00677275.stl,0.99163818359375,1.0,99.169921875
00410256.stl,0.996398925782987,1.0,99.64599609375
00430186.stl,0.9761962890625,1.0,97.61962890625
00576879.stl,0.9847158905657305,0.999810797385289,98.4619140625
00454414.stl,0.796959235653721,1.0,79.6142578125
